env,rung,transport,size_mib,reader,drain,expected_bytes,got_bytes,lost_bytes,sha_match,exit_code,stderr_len,seconds,verdict
k3s-docker,3,ws,32,slow,0,33554432,28718080,4836352,no,1,266,28,truncated
k3s-docker,3,ws,32,slow,0,33554432,29555712,3998720,no,0,0,28,truncated
k3s-docker,3,ws,32,slow,0,33554432,29678592,3875840,no,1,266,28,truncated
k3s-docker,3,ws,32,slow,0,33554432,27971579,5582853,no,1,446,27,truncated
k3s-docker,3,ws,32,slow,0,33554432,31928320,1626112,no,1,443,31,truncated
k3s-docker,3,spdy,32,slow,0,33554432,29667328,3887104,no,0,0,29,truncated
k3s-docker,3,spdy,32,slow,0,33554432,33554432,0,yes,0,0,33,complete
k3s-docker,3,spdy,32,slow,0,33554432,32833536,720896,no,0,0,32,truncated
k3s-docker,3,spdy,32,slow,0,33554432,33554432,0,yes,0,0,33,complete
k3s-docker,3,spdy,32,slow,0,33554432,33554432,0,yes,0,0,33,complete
